zone_id,date,rainfall_mm
1.0,20210902,7.02
1.0,20210903,8.8
1.0,20210904,12.16
1.0,20210905,7.22
1.0,20210906,6.91
1.0,20210907,0.43
1.0,20210908,0.06
1.0,20210909,0.15
1.0,20210910,0.53
1.0,20210911,0.06
1.0,20210912,0.17
1.0,20210913,0.05
1.0,20210914,0.04
1.0,20210915,1.77
1.0,20210916,2.6
1.0,20210917,1.42
1.0,20210918,5.01
1.0,20210919,6.04
1.0,20210920,3.03
1.0,20210921,4.59
1.0,20210922,21.25
1.0,20210923,1.37
1.0,20210924,1.87
1.0,20210925,7.28
1.0,20210926,7.13
1.0,20210927,0.08
1.0,20210928,2.25
1.0,20210929,1.48
1.0,20210930,3.93
1.0,20211001,2.28
1.0,20211002,5.59
1.0,20211003,4.45
1.0,20211004,4.71
1.0,20211005,37.11
1.0,20211006,8.39
1.0,20211007,3.17
1.0,20211008,3.81
1.0,20211009,5.3
1.0,20211010,9.41
1.0,20211011,4.31
1.0,20211012,4.16
1.0,20211013,6.49
1.0,20211014,0.24
1.0,20211015,2.84
1.0,20211016,1.62
1.0,20211017,3.02
1.0,20211018,0.37
1.0,20211019,3.3
1.0,20211020,1.74
1.0,20211021,1.85
1.0,20211022,0.51
1.0,20211023,0.54
1.0,20211024,5.98
1.0,20211025,0.93
1.0,20211026,0.98
1.0,20211027,0.75
1.0,20211028,6.67
1.0,20211029,25.07
1.0,20211030,17.88
1.0,20211031,16.09
1.0,20211101,21.37
1.0,20211102,23.68
1.0,20211103,30.77
1.0,20211104,18.47
1.0,20211105,16.95
1.0,20211106,49.77
1.0,20211107,40.64
1.0,20211108,36.4
1.0,20211109,16.97
1.0,20211110,84.05
1.0,20211111,75.19
1.0,20211112,3.63
1.0,20211113,3.72
1.0,20211114,4.74
1.0,20211115,4.57
1.0,20211116,2.4
1.0,20211117,11.0
1.0,20211118,74.21
1.0,20211119,20.62
1.0,20211120,16.63
1.0,20211121,7.5
1.0,20211122,5.0
1.0,20211123,2.29
1.0,20211124,2.87
1.0,20211125,18.25
1.0,20211126,58.61
1.0,20211127,29.98
1.0,20211128,61.12
1.0,20211129,12.76
1.0,20211130,9.8
1.0,20211201,1.22
1.0,20211202,0.03
1.0,20211203,0.14
1.0,20211204,0.01
1.0,20211205,0.15
1.0,20211206,1.22
1.0,20211207,0.09
1.0,20211208,0.38
1.0,20211209,3.98
1.0,20211210,2.35
1.0,20211211,3.71
1.0,20211212,6.0
1.0,20211213,6.87
1.0,20211214,2.34
1.0,20211215,1.6
1.0,20211216,0.48
1.0,20211217,0.15
1.0,20211218,0.0
1.0,20211219,0.0
1.0,20211220,0.0
1.0,20211221,0.0
1.0,20211222,0.0
1.0,20211223,0.0
1.0,20211224,0.0
1.0,20211225,0.0
1.0,20211226,0.0
1.0,20211227,0.41
1.0,20211228,0.87
1.0,20211229,0.92
1.0,20211230,55.65
1.0,20211231,42.52
1.0,20220101,8.69
1.0,20220102,0.5
1.0,20220103,0.02
1.0,20220104,0.01
1.0,20220105,0.02
1.0,20220106,0.04
1.0,20220107,0.03
1.0,20220108,0.0
1.0,20220109,0.0
1.0,20220110,0.0
1.0,20220111,0.02
1.0,20220112,0.14
1.0,20220113,0.95
1.0,20220114,0.68
1.0,20220115,0.64
1.0,20220116,5.86
1.0,20220117,6.17
1.0,20220118,1.52
1.0,20220119,0.47
1.0,20220120,0.0
1.0,20220121,0.0
1.0,20220122,0.0
1.0,20220123,0.59
1.0,20220124,3.1
1.0,20220125,1.19
1.0,20220126,0.7
1.0,20220127,0.19
1.0,20220128,0.26
1.0,20220129,0.08
1.0,20220130,0.0
1.0,20220131,0.0
1.0,20220201,0.0
1.0,20220202,0.0
1.0,20220203,0.0
1.0,20220204,0.0
1.0,20220205,0.04
1.0,20220206,0.0
1.0,20220207,0.0
1.0,20220208,0.0
1.0,20220209,0.0
1.0,20220210,0.13
1.0,20220211,0.25
1.0,20220212,0.07
1.0,20220213,0.0
1.0,20220214,0.03
1.0,20220215,0.01
1.0,20220216,0.0
1.0,20220217,0.0
1.0,20220218,0.0
1.0,20220219,0.0
1.0,20220220,0.0
1.0,20220221,0.0
1.0,20220222,0.03
1.0,20220223,0.0
1.0,20220224,0.0
1.0,20220225,0.0
1.0,20220226,0.01
1.0,20220227,0.0
1.0,20220228,0.0
1.0,20220301,0.0
1.0,20220302,0.0
1.0,20220303,0.0
1.0,20220304,0.06
1.0,20220305,0.01
1.0,20220306,0.89
1.0,20220307,0.21
1.0,20220308,0.0
1.0,20220309,0.0
1.0,20220310,0.0
1.0,20220311,0.0
1.0,20220312,0.0
1.0,20220313,0.01
1.0,20220314,0.0
1.0,20220315,0.0
1.0,20220316,0.0
1.0,20220317,0.0
1.0,20220318,0.0
1.0,20220319,0.01
1.0,20220320,0.08
1.0,20220321,0.49
1.0,20220322,0.87
1.0,20220323,0.01
1.0,20220324,0.01
1.0,20220325,0.0
1.0,20220326,0.0
1.0,20220327,0.0
1.0,20220328,0.0
1.0,20220329,0.0
1.0,20220330,0.0
1.0,20220331,0.01
1.0,20220401,0.0
1.0,20220402,0.01
1.0,20220403,0.0
1.0,20220404,0.01
1.0,20220405,0.0
1.0,20220406,0.05
1.0,20220407,0.1
1.0,20220408,0.14
1.0,20220409,0.14
1.0,20220410,0.66
1.0,20220411,0.26
1.0,20220412,0.07
1.0,20220413,0.11
1.0,20220414,0.02
1.0,20220415,0.02
1.0,20220416,0.03
1.0,20220417,0.42
1.0,20220418,0.33
1.0,20220419,0.03
1.0,20220420,0.02
1.0,20220421,0.01
1.0,20220422,0.02
1.0,20220423,0.04
1.0,20220424,0.0
1.0,20220425,0.0
1.0,20220426,0.0
1.0,20220427,0.0
1.0,20220428,0.0
1.0,20220429,0.02
1.0,20220430,0.01
1.0,20220501,0.38
1.0,20220502,0.99
1.0,20220503,0.48
1.0,20220504,1.98
1.0,20220505,1.93
1.0,20220506,4.02
1.0,20220507,8.16
1.0,20220508,0.52
1.0,20220509,1.28
1.0,20220510,10.74
1.0,20220511,6.44
1.0,20220512,8.99
1.0,20220513,1.16
1.0,20220514,1.15
1.0,20220515,7.5
1.0,20220516,6.12
1.0,20220517,2.55
1.0,20220518,1.4
1.0,20220519,0.45
1.0,20220520,0.4
1.0,20220521,0.02
1.0,20220522,0.03
1.0,20220523,0.01
1.0,20220524,0.07
1.0,20220525,2.43
1.0,20220526,3.13
1.0,20220527,1.93
1.0,20220528,0.08
1.0,20220529,0.13
1.0,20220530,0.09
1.0,20220531,0.03
1.0,20220601,0.01
1.0,20220602,0.0
1.0,20220603,0.01
1.0,20220604,0.01
1.0,20220605,1.81
1.0,20220606,3.7
1.0,20220607,2.57
1.0,20220608,0.38
1.0,20220609,0.26
1.0,20220610,0.21
1.0,20220611,1.31
1.0,20220612,1.97
1.0,20220613,1.48
1.0,20220614,1.54
1.0,20220615,8.16
1.0,20220616,8.64
1.0,20220617,7.47
1.0,20220618,4.74
1.0,20220619,28.85
1.0,20220620,18.31
1.0,20220621,23.54
1.0,20220622,9.51
1.0,20220623,3.63
1.0,20220624,2.55
1.0,20220625,1.99
1.0,20220626,0.65
1.0,20220627,2.44
1.0,20220628,2.59
1.0,20220629,5.16
1.0,20220630,5.14
1.0,20220701,4.5
1.0,20220702,3.0
1.0,20220703,3.04
1.0,20220704,3.24
1.0,20220705,6.45
1.0,20220706,4.59
1.0,20220707,1.75
1.0,20220708,3.76
1.0,20220709,2.01
1.0,20220710,2.79
1.0,20220711,1.15
1.0,20220712,1.38
1.0,20220713,2.29
1.0,20220714,0.31
1.0,20220715,0.09
1.0,20220716,5.09
1.0,20220717,9.42
1.0,20220718,2.0
1.0,20220719,0.94
1.0,20220720,10.14
1.0,20220721,5.89
1.0,20220722,15.58
1.0,20220723,1.46
1.0,20220724,3.4
1.0,20220725,3.46
1.0,20220726,7.74
1.0,20220727,0.2
1.0,20220728,0.75
1.0,20220729,0.73
1.0,20220730,1.37
1.0,20220731,4.17
1.0,20220801,8.36
1.0,20220802,6.98
2.0,20210902,7.02
2.0,20210903,8.8
2.0,20210904,12.16
2.0,20210905,7.22
2.0,20210906,6.91
2.0,20210907,0.43
2.0,20210908,0.06
2.0,20210909,0.15
2.0,20210910,0.53
2.0,20210911,0.06
2.0,20210912,0.17
2.0,20210913,0.05
2.0,20210914,0.04
2.0,20210915,1.77
2.0,20210916,2.6
2.0,20210917,1.42
2.0,20210918,5.01
2.0,20210919,6.04
2.0,20210920,3.03
2.0,20210921,4.59
2.0,20210922,21.25
2.0,20210923,1.37
2.0,20210924,1.87
2.0,20210925,7.28
2.0,20210926,7.13
2.0,20210927,0.08
2.0,20210928,2.25
2.0,20210929,1.48
2.0,20210930,3.93
2.0,20211001,2.28
2.0,20211002,5.59
2.0,20211003,4.45
2.0,20211004,4.71
2.0,20211005,37.11
2.0,20211006,8.39
2.0,20211007,3.17
2.0,20211008,3.81
2.0,20211009,5.3
2.0,20211010,9.41
2.0,20211011,4.31
2.0,20211012,4.16
2.0,20211013,6.49
2.0,20211014,0.24
2.0,20211015,2.84
2.0,20211016,1.62
2.0,20211017,3.02
2.0,20211018,0.37
2.0,20211019,3.3
2.0,20211020,1.74
2.0,20211021,1.85
2.0,20211022,0.51
2.0,20211023,0.54
2.0,20211024,5.98
2.0,20211025,0.93
2.0,20211026,0.98
2.0,20211027,0.75
2.0,20211028,6.67
2.0,20211029,25.07
2.0,20211030,17.88
2.0,20211031,16.09
2.0,20211101,21.37
2.0,20211102,23.68
2.0,20211103,30.77
2.0,20211104,18.47
2.0,20211105,16.95
2.0,20211106,49.77
2.0,20211107,40.64
2.0,20211108,36.4
2.0,20211109,16.97
2.0,20211110,84.05
2.0,20211111,75.19
2.0,20211112,3.63
2.0,20211113,3.72
2.0,20211114,4.74
2.0,20211115,4.57
2.0,20211116,2.4
2.0,20211117,11.0
2.0,20211118,74.21
2.0,20211119,20.62
2.0,20211120,16.63
2.0,20211121,7.5
2.0,20211122,5.0
2.0,20211123,2.29
2.0,20211124,2.87
2.0,20211125,18.25
2.0,20211126,58.61
2.0,20211127,29.98
2.0,20211128,61.12
2.0,20211129,12.76
2.0,20211130,9.8
2.0,20211201,1.22
2.0,20211202,0.03
2.0,20211203,0.14
2.0,20211204,0.01
2.0,20211205,0.15
2.0,20211206,1.22
2.0,20211207,0.09
2.0,20211208,0.38
2.0,20211209,3.98
2.0,20211210,2.35
2.0,20211211,3.71
2.0,20211212,6.0
2.0,20211213,6.87
2.0,20211214,2.34
2.0,20211215,1.6
2.0,20211216,0.48
2.0,20211217,0.15
2.0,20211218,0.0
2.0,20211219,0.0
2.0,20211220,0.0
2.0,20211221,0.0
2.0,20211222,0.0
2.0,20211223,0.0
2.0,20211224,0.0
2.0,20211225,0.0
2.0,20211226,0.0
2.0,20211227,0.41
2.0,20211228,0.87
2.0,20211229,0.92
2.0,20211230,55.65
2.0,20211231,42.52
2.0,20220101,8.69
2.0,20220102,0.5
2.0,20220103,0.02
2.0,20220104,0.01
2.0,20220105,0.02
2.0,20220106,0.04
2.0,20220107,0.03
2.0,20220108,0.0
2.0,20220109,0.0
2.0,20220110,0.0
2.0,20220111,0.02
2.0,20220112,0.14
2.0,20220113,0.95
2.0,20220114,0.68
2.0,20220115,0.64
2.0,20220116,5.86
2.0,20220117,6.17
2.0,20220118,1.52
2.0,20220119,0.47
2.0,20220120,0.0
2.0,20220121,0.0
2.0,20220122,0.0
2.0,20220123,0.59
2.0,20220124,3.1
2.0,20220125,1.19
2.0,20220126,0.7
2.0,20220127,0.19
2.0,20220128,0.26
2.0,20220129,0.08
2.0,20220130,0.0
2.0,20220131,0.0
2.0,20220201,0.0
2.0,20220202,0.0
2.0,20220203,0.0
2.0,20220204,0.0
2.0,20220205,0.04
2.0,20220206,0.0
2.0,20220207,0.0
2.0,20220208,0.0
2.0,20220209,0.0
2.0,20220210,0.13
2.0,20220211,0.25
2.0,20220212,0.07
2.0,20220213,0.0
2.0,20220214,0.03
2.0,20220215,0.01
2.0,20220216,0.0
2.0,20220217,0.0
2.0,20220218,0.0
2.0,20220219,0.0
2.0,20220220,0.0
2.0,20220221,0.0
2.0,20220222,0.03
2.0,20220223,0.0
2.0,20220224,0.0
2.0,20220225,0.0
2.0,20220226,0.01
2.0,20220227,0.0
2.0,20220228,0.0
2.0,20220301,0.0
2.0,20220302,0.0
2.0,20220303,0.0
2.0,20220304,0.06
2.0,20220305,0.01
2.0,20220306,0.89
2.0,20220307,0.21
2.0,20220308,0.0
2.0,20220309,0.0
2.0,20220310,0.0
2.0,20220311,0.0
2.0,20220312,0.0
2.0,20220313,0.01
2.0,20220314,0.0
2.0,20220315,0.0
2.0,20220316,0.0
2.0,20220317,0.0
2.0,20220318,0.0
2.0,20220319,0.01
2.0,20220320,0.08
2.0,20220321,0.49
2.0,20220322,0.87
2.0,20220323,0.01
2.0,20220324,0.01
2.0,20220325,0.0
2.0,20220326,0.0
2.0,20220327,0.0
2.0,20220328,0.0
2.0,20220329,0.0
2.0,20220330,0.0
2.0,20220331,0.01
2.0,20220401,0.0
2.0,20220402,0.01
2.0,20220403,0.0
2.0,20220404,0.01
2.0,20220405,0.0
2.0,20220406,0.05
2.0,20220407,0.1
2.0,20220408,0.14
2.0,20220409,0.14
2.0,20220410,0.66
2.0,20220411,0.26
2.0,20220412,0.07
2.0,20220413,0.11
2.0,20220414,0.02
2.0,20220415,0.02
2.0,20220416,0.03
2.0,20220417,0.42
2.0,20220418,0.33
2.0,20220419,0.03
2.0,20220420,0.02
2.0,20220421,0.01
2.0,20220422,0.02
2.0,20220423,0.04
2.0,20220424,0.0
2.0,20220425,0.0
2.0,20220426,0.0
2.0,20220427,0.0
2.0,20220428,0.0
