zone_id,date,soil_moisture
1.0,20210902,0.73
1.0,20210903,0.73
1.0,20210904,0.74
1.0,20210905,0.75
1.0,20210906,0.75
1.0,20210907,0.75
1.0,20210908,0.74
1.0,20210909,0.74
1.0,20210910,0.73
1.0,20210911,0.73
1.0,20210912,0.72
1.0,20210913,0.72
1.0,20210914,0.71
1.0,20210915,0.71
1.0,20210916,0.71
1.0,20210917,0.71
1.0,20210918,0.71
1.0,20210919,0.71
1.0,20210920,0.71
1.0,20210921,0.71
1.0,20210922,0.74
1.0,20210923,0.74
1.0,20210924,0.74
1.0,20210925,0.73
1.0,20210926,0.75
1.0,20210927,0.74
1.0,20210928,0.73
1.0,20210929,0.73
1.0,20210930,0.73
1.0,20211001,0.73
1.0,20211002,0.73
1.0,20211003,0.73
1.0,20211004,0.73
1.0,20211005,0.76
1.0,20211006,0.79
1.0,20211007,0.79
1.0,20211008,0.78
1.0,20211009,0.78
1.0,20211010,0.79
1.0,20211011,0.8
1.0,20211012,0.79
1.0,20211013,0.8
1.0,20211014,0.79
1.0,20211015,0.79
1.0,20211016,0.79
1.0,20211017,0.79
1.0,20211018,0.79
1.0,20211019,0.78
1.0,20211020,0.78
1.0,20211021,0.79
1.0,20211022,0.78
1.0,20211023,0.78
1.0,20211024,0.78
1.0,20211025,0.78
1.0,20211026,0.77
1.0,20211027,0.77
1.0,20211028,0.76
1.0,20211029,0.79
1.0,20211030,0.83
1.0,20211031,0.83
1.0,20211101,0.86
1.0,20211102,0.88
1.0,20211103,0.91
1.0,20211104,0.92
1.0,20211105,0.92
1.0,20211106,0.94
1.0,20211107,0.97
1.0,20211108,0.98
1.0,20211109,0.98
1.0,20211110,0.99
1.0,20211111,1.0
1.0,20211112,0.99
1.0,20211113,0.99
1.0,20211114,0.99
1.0,20211115,0.99
1.0,20211116,0.99
1.0,20211117,0.99
1.0,20211118,1.0
1.0,20211119,1.0
1.0,20211120,1.0
1.0,20211121,1.0
1.0,20211122,0.99
1.0,20211123,0.99
1.0,20211124,0.99
1.0,20211125,0.99
1.0,20211126,1.0
1.0,20211127,1.0
1.0,20211128,1.0
1.0,20211129,1.0
1.0,20211130,1.0
1.0,20211201,1.0
1.0,20211202,1.0
1.0,20211203,0.99
1.0,20211204,0.99
1.0,20211205,0.99
1.0,20211206,0.98
1.0,20211207,0.98
1.0,20211208,0.97
1.0,20211209,0.97
1.0,20211210,0.97
1.0,20211211,0.96
1.0,20211212,0.96
1.0,20211213,0.96
1.0,20211214,0.96
1.0,20211215,0.95
1.0,20211216,0.95
1.0,20211217,0.94
1.0,20211218,0.93
1.0,20211219,0.93
1.0,20211220,0.92
1.0,20211221,0.92
1.0,20211222,0.91
1.0,20211223,0.9
1.0,20211224,0.9
1.0,20211225,0.89
1.0,20211226,0.88
1.0,20211227,0.88
1.0,20211228,0.87
1.0,20211229,0.87
1.0,20211230,0.89
1.0,20211231,0.96
1.0,20220101,0.96
1.0,20220102,0.95
1.0,20220103,0.94
1.0,20220104,0.93
1.0,20220105,0.93
1.0,20220106,0.92
1.0,20220107,0.91
1.0,20220108,0.91
1.0,20220109,0.9
1.0,20220110,0.9
1.0,20220111,0.89
1.0,20220112,0.88
1.0,20220113,0.87
1.0,20220114,0.87
1.0,20220115,0.86
1.0,20220116,0.86
1.0,20220117,0.86
1.0,20220118,0.86
1.0,20220119,0.85
1.0,20220120,0.85
1.0,20220121,0.84
1.0,20220122,0.83
1.0,20220123,0.83
1.0,20220124,0.83
1.0,20220125,0.82
1.0,20220126,0.82
1.0,20220127,0.81
1.0,20220128,0.8
1.0,20220129,0.8
1.0,20220130,0.79
1.0,20220131,0.78
1.0,20220201,0.78
1.0,20220202,0.77
1.0,20220203,0.76
1.0,20220204,0.76
1.0,20220205,0.75
1.0,20220206,0.74
1.0,20220207,0.74
1.0,20220208,0.73
1.0,20220209,0.72
1.0,20220210,0.72
1.0,20220211,0.71
1.0,20220212,0.71
1.0,20220213,0.7
1.0,20220214,0.69
1.0,20220215,0.69
1.0,20220216,0.68
1.0,20220217,0.68
1.0,20220218,0.67
1.0,20220219,0.67
1.0,20220220,0.66
1.0,20220221,0.66
1.0,20220222,0.65
1.0,20220223,0.65
1.0,20220224,0.64
1.0,20220225,0.64
1.0,20220226,0.63
1.0,20220227,0.63
1.0,20220228,0.62
1.0,20220301,0.62
1.0,20220302,0.61
1.0,20220303,0.61
1.0,20220304,0.61
1.0,20220305,0.6
1.0,20220306,0.6
1.0,20220307,0.6
1.0,20220308,0.59
1.0,20220309,0.59
1.0,20220310,0.59
1.0,20220311,0.58
