zone_id,date,rainfall_mm,soil_moisture
1.0,20210902,7.02,0.73
1.0,20210903,8.8,0.73
1.0,20210904,12.16,0.74
1.0,20210905,7.22,0.75
1.0,20210906,6.91,0.75
1.0,20210907,0.43,0.75
1.0,20210908,0.06,0.74
1.0,20210909,0.15,0.74
1.0,20210910,0.53,0.73
1.0,20210911,0.06,0.73
1.0,20210912,0.17,0.72
1.0,20210913,0.05,0.72
1.0,20210914,0.04,0.71
1.0,20210915,1.77,0.71
1.0,20210916,2.6,0.71
1.0,20210917,1.42,0.71
1.0,20210918,5.01,0.71
1.0,20210919,6.04,0.71
1.0,20210920,3.03,0.71
1.0,20210921,4.59,0.71
1.0,20210922,21.25,0.74
1.0,20210923,1.37,0.74
1.0,20210924,1.87,0.74
1.0,20210925,7.28,0.73
1.0,20210926,7.13,0.75
1.0,20210927,0.08,0.74
1.0,20210928,2.25,0.73
1.0,20210929,1.48,0.73
1.0,20210930,3.93,0.73
1.0,20211001,2.28,0.73
1.0,20211002,5.59,0.73
1.0,20211003,4.45,0.73
1.0,20211004,4.71,0.73
1.0,20211005,37.11,0.76
1.0,20211006,8.39,0.79
1.0,20211007,3.17,0.79
1.0,20211008,3.81,0.78
1.0,20211009,5.3,0.78
1.0,20211010,9.41,0.79
1.0,20211011,4.31,0.8
1.0,20211012,4.16,0.79
1.0,20211013,6.49,0.8
1.0,20211014,0.24,0.79
1.0,20211015,2.84,0.79
1.0,20211016,1.62,0.79
1.0,20211017,3.02,0.79
1.0,20211018,0.37,0.79
1.0,20211019,3.3,0.78
1.0,20211020,1.74,0.78
1.0,20211021,1.85,0.79
1.0,20211022,0.51,0.78
1.0,20211023,0.54,0.78
1.0,20211024,5.98,0.78
1.0,20211025,0.93,0.78
1.0,20211026,0.98,0.77
1.0,20211027,0.75,0.77
1.0,20211028,6.67,0.76
1.0,20211029,25.07,0.79
1.0,20211030,17.88,0.83
1.0,20211031,16.09,0.83
1.0,20211101,21.37,0.86
1.0,20211102,23.68,0.88
1.0,20211103,30.77,0.91
1.0,20211104,18.47,0.92
1.0,20211105,16.95,0.92
1.0,20211106,49.77,0.94
1.0,20211107,40.64,0.97
1.0,20211108,36.4,0.98
1.0,20211109,16.97,0.98
1.0,20211110,84.05,0.99
1.0,20211111,75.19,1.0
1.0,20211112,3.63,0.99
1.0,20211113,3.72,0.99
1.0,20211114,4.74,0.99
1.0,20211115,4.57,0.99
1.0,20211116,2.4,0.99
1.0,20211117,11.0,0.99
1.0,20211118,74.21,1.0
1.0,20211119,20.62,1.0
1.0,20211120,16.63,1.0
1.0,20211121,7.5,1.0
1.0,20211122,5.0,0.99
1.0,20211123,2.29,0.99
1.0,20211124,2.87,0.99
1.0,20211125,18.25,0.99
1.0,20211126,58.61,1.0
1.0,20211127,29.98,1.0
1.0,20211128,61.12,1.0
1.0,20211129,12.76,1.0
1.0,20211130,9.8,1.0
1.0,20211201,1.22,1.0
1.0,20211202,0.03,1.0
1.0,20211203,0.14,0.99
1.0,20211204,0.01,0.99
1.0,20211205,0.15,0.99
1.0,20211206,1.22,0.98
1.0,20211207,0.09,0.98
1.0,20211208,0.38,0.97
1.0,20211209,3.98,0.97
1.0,20211210,2.35,0.97
1.0,20211211,3.71,0.96
1.0,20211212,6.0,0.96
1.0,20211213,6.87,0.96
1.0,20211214,2.34,0.96
1.0,20211215,1.6,0.95
1.0,20211216,0.48,0.95
1.0,20211217,0.15,0.94
1.0,20211218,0.0,0.93
1.0,20211219,0.0,0.93
1.0,20211220,0.0,0.92
1.0,20211221,0.0,0.92
1.0,20211222,0.0,0.91
1.0,20211223,0.0,0.9
1.0,20211224,0.0,0.9
1.0,20211225,0.0,0.89
1.0,20211226,0.0,0.88
1.0,20211227,0.41,0.88
1.0,20211228,0.87,0.87
1.0,20211229,0.92,0.87
1.0,20211230,55.65,0.89
1.0,20211231,42.52,0.96
1.0,20220101,8.69,0.96
1.0,20220102,0.5,0.95
1.0,20220103,0.02,0.94
1.0,20220104,0.01,0.93
1.0,20220105,0.02,0.93
1.0,20220106,0.04,0.92
1.0,20220107,0.03,0.91
1.0,20220108,0.0,0.91
1.0,20220109,0.0,0.9
1.0,20220110,0.0,0.9
1.0,20220111,0.02,0.89
1.0,20220112,0.14,0.88
1.0,20220113,0.95,0.87
1.0,20220114,0.68,0.87
1.0,20220115,0.64,0.86
1.0,20220116,5.86,0.86
1.0,20220117,6.17,0.86
1.0,20220118,1.52,0.86
1.0,20220119,0.47,0.85
1.0,20220120,0.0,0.85
1.0,20220121,0.0,0.84
1.0,20220122,0.0,0.83
1.0,20220123,0.59,0.83
1.0,20220124,3.1,0.83
1.0,20220125,1.19,0.82
1.0,20220126,0.7,0.82
1.0,20220127,0.19,0.81
1.0,20220128,0.26,0.8
1.0,20220129,0.08,0.8
1.0,20220130,0.0,0.79
1.0,20220131,0.0,0.78
1.0,20220201,0.0,0.78
1.0,20220202,0.0,0.77
1.0,20220203,0.0,0.76
1.0,20220204,0.0,0.76
1.0,20220205,0.04,0.75
1.0,20220206,0.0,0.74
1.0,20220207,0.0,0.74
1.0,20220208,0.0,0.73
1.0,20220209,0.0,0.72
1.0,20220210,0.13,0.72
1.0,20220211,0.25,0.71
1.0,20220212,0.07,0.71
1.0,20220213,0.0,0.7
1.0,20220214,0.03,0.69
1.0,20220215,0.01,0.69
1.0,20220216,0.0,0.68
1.0,20220217,0.0,0.68
1.0,20220218,0.0,0.67
1.0,20220219,0.0,0.67
1.0,20220220,0.0,0.66
1.0,20220221,0.0,0.66
1.0,20220222,0.03,0.65
1.0,20220223,0.0,0.65
1.0,20220224,0.0,0.64
1.0,20220225,0.0,0.64
1.0,20220226,0.01,0.63
1.0,20220227,0.0,0.63
1.0,20220228,0.0,0.62
1.0,20220301,0.0,0.62
1.0,20220302,0.0,0.61
1.0,20220303,0.0,0.61
1.0,20220304,0.06,0.61
1.0,20220305,0.01,0.6
1.0,20220306,0.89,0.6
1.0,20220307,0.21,0.6
1.0,20220308,0.0,0.59
1.0,20220309,0.0,0.59
1.0,20220310,0.0,0.59
1.0,20220311,0.0,0.58
1.0,20220312,0.0,0.58
1.0,20220313,0.01,0.57
1.0,20220314,0.0,0.57
1.0,20220315,0.0,0.57
1.0,20220316,0.0,0.56
1.0,20220317,0.0,0.56
1.0,20220318,0.0,0.55
1.0,20220319,0.01,0.55
1.0,20220320,0.08,0.55
1.0,20220321,0.49,0.55
1.0,20220322,0.87,0.55
1.0,20220323,0.01,0.54
1.0,20220324,0.01,0.54
1.0,20220325,0.0,0.54
1.0,20220326,0.0,0.53
1.0,20220327,0.0,0.53
1.0,20220328,0.0,0.53
1.0,20220329,0.0,0.53
1.0,20220330,0.0,0.53
