zone_id,date,rainfall_mm,soil_moisture,runoff_mm,flood_label
1,20210902,7.02,0.73,5.1246,0
1,20210903,8.8,0.73,6.424,1
1,20210904,12.16,0.74,8.9984,1
1,20210905,7.22,0.75,5.415,1
1,20210906,6.91,0.75,5.1825,0
1,20210907,0.43,0.75,0.3225,0
1,20210908,0.06,0.74,0.0444,0
1,20210909,0.15,0.74,0.111,0
1,20210910,0.53,0.73,0.3869,0
1,20210911,0.06,0.73,0.0438,0
1,20210912,0.17,0.72,0.1224,0
1,20210913,0.05,0.72,0.036,0
1,20210914,0.04,0.71,0.0284,0
1,20210915,1.77,0.71,1.2567,0
1,20210916,2.6,0.71,1.846,0
1,20210917,1.42,0.71,1.0082,0
1,20210918,5.01,0.71,3.5571,0
1,20210919,6.04,0.71,4.2884,0
1,20210920,3.03,0.71,2.1513,0
1,20210921,4.59,0.71,3.2589,0
1,20210922,21.25,0.74,15.725,1
1,20210923,1.37,0.74,1.0138,0
1,20210924,1.87,0.74,1.3838,0
1,20210925,7.28,0.73,5.3144,1
1,20210926,7.13,0.75,5.3475,1
1,20210927,0.08,0.74,0.0592,0
1,20210928,2.25,0.73,1.6425,0
1,20210929,1.48,0.73,1.0804,0
1,20210930,3.93,0.73,2.8689,0
1,20211001,2.28,0.73,1.6644,0
1,20211002,5.59,0.73,4.0807,0
1,20211003,4.45,0.73,3.2485,0
1,20211004,4.71,0.73,3.4383,0
1,20211005,37.11,0.76,28.2036,1
1,20211006,8.39,0.79,6.6281,1
1,20211007,3.17,0.79,2.5043,0
1,20211008,3.81,0.78,2.9718,0
1,20211009,5.3,0.78,4.134,0
1,20211010,9.41,0.79,7.4339,1
1,20211011,4.31,0.8,3.448,0
1,20211012,4.16,0.79,3.2864,0
1,20211013,6.49,0.8,5.192,0
1,20211014,0.24,0.79,0.1896,0
1,20211015,2.84,0.79,2.2436,0
1,20211016,1.62,0.79,1.2798,0
1,20211017,3.02,0.79,2.3858,0
1,20211018,0.37,0.79,0.2923,0
1,20211019,3.3,0.78,2.574,0
1,20211020,1.74,0.78,1.3572,0
1,20211021,1.85,0.79,1.4615,0
1,20211022,0.51,0.78,0.3978,0
1,20211023,0.54,0.78,0.4212,0
1,20211024,5.98,0.78,4.6644,0
1,20211025,0.93,0.78,0.7254,0
1,20211026,0.98,0.77,0.7546,0
1,20211027,0.75,0.77,0.5775,0
1,20211028,6.67,0.76,5.0692,0
1,20211029,25.07,0.79,19.8053,1
1,20211030,17.88,0.83,14.8404,1
1,20211031,16.09,0.83,13.3547,1
1,20211101,21.37,0.86,18.3782,1
1,20211102,23.68,0.88,20.8384,1
1,20211103,30.77,0.91,28.0007,1
1,20211104,18.47,0.92,16.9924,1
1,20211105,16.95,0.92,15.594,1
1,20211106,49.77,0.94,46.7838,1
1,20211107,40.64,0.97,39.4208,1
1,20211108,36.4,0.98,35.672,1
1,20211109,16.97,0.98,16.6306,1
1,20211110,84.05,0.99,83.2095,1
1,20211111,75.19,1,75.19,1
1,20211112,3.63,0.99,3.5937,0
1,20211113,3.72,0.99,3.6828,0
1,20211114,4.74,0.99,4.6926,0
1,20211115,4.57,0.99,4.5243,0
1,20211116,2.4,0.99,2.376,0
1,20211117,11,0.99,10.89,1
1,20211118,74.21,1,74.21,1
1,20211119,20.62,1,20.62,1
1,20211120,16.63,1,16.63,1
1,20211121,7.5,1,7.5,1
1,20211122,5,0.99,4.95,0
1,20211123,2.29,0.99,2.2671,0
1,20211124,2.87,0.99,2.8413,0
1,20211125,18.25,0.99,18.0675,1
1,20211126,58.61,1,58.61,1
1,20211127,29.98,1,29.98,1
1,20211128,61.12,1,61.12,1
1,20211129,12.76,1,12.76,1
1,20211130,9.8,1,9.8,1
1,20211201,1.22,1,1.22,0
1,20211202,0.03,1,0.03,0
1,20211203,0.14,0.99,0.1386,0
1,20211204,0.01,0.99,0.0099,0
1,20211205,0.15,0.99,0.1485,0
1,20211206,1.22,0.98,1.1956,0
1,20211207,0.09,0.98,0.0882,0
1,20211208,0.38,0.97,0.3686,0
1,20211209,3.98,0.97,3.8606,0
1,20211210,2.35,0.97,2.2795,0
1,20211211,3.71,0.96,3.5616,0
1,20211212,6,0.96,5.76,1
1,20211213,6.87,0.96,6.5952,1
1,20211214,2.34,0.96,2.2464,0
1,20211215,1.6,0.95,1.52,0
1,20211216,0.48,0.95,0.456,0
1,20211217,0.15,0.94,0.141,0
1,20211218,0,0.93,0,0
1,20211219,0,0.93,0,0
1,20211220,0,0.92,0,0
1,20211221,0,0.92,0,0
1,20211222,0,0.91,0,0
1,20211223,0,0.9,0,0
1,20211224,0,0.9,0,0
1,20211225,0,0.89,0,0
1,20211226,0,0.88,0,0
1,20211227,0.41,0.88,0.3608,0
1,20211228,0.87,0.87,0.7569,0
1,20211229,0.92,0.87,0.8004,0
1,20211230,55.65,0.89,49.5285,1
1,20211231,42.52,0.96,40.8192,1
1,20220101,8.69,0.96,8.3424,1
1,20220102,0.5,0.95,0.475,0
1,20220103,0.02,0.94,0.0188,0
1,20220104,0.01,0.93,0.0093,0
1,20220105,0.02,0.93,0.0186,0
1,20220106,0.04,0.92,0.0368,0
1,20220107,0.03,0.91,0.0273,0
1,20220108,0,0.91,0,0
1,20220109,0,0.9,0,0
1,20220110,0,0.9,0,0
1,20220111,0.02,0.89,0.0178,0
1,20220112,0.14,0.88,0.1232,0
1,20220113,0.95,0.87,0.8265,0
1,20220114,0.68,0.87,0.5916,0
1,20220115,0.64,0.86,0.5504,0
1,20220116,5.86,0.86,5.0396,0
1,20220117,6.17,0.86,5.3062,1
1,20220118,1.52,0.86,1.3072,0
1,20220119,0.47,0.85,0.3995,0
1,20220120,0,0.85,0,0
1,20220121,0,0.84,0,0
1,20220122,0,0.83,0,0
1,20220123,0.59,0.83,0.4897,0
1,20220124,3.1,0.83,2.573,0
1,20220125,1.19,0.82,0.9758,0
1,20220126,0.7,0.82,0.574,0
1,20220127,0.19,0.81,0.1539,0
1,20220128,0.26,0.8,0.208,0
1,20220129,0.08,0.8,0.064,0
1,20220130,0,0.79,0,0
1,20220131,0,0.78,0,0
1,20220201,0,0.78,0,0
1,20220202,0,0.77,0,0
1,20220203,0,0.76,0,0
1,20220204,0,0.76,0,0
1,20220205,0.04,0.75,0.03,0
1,20220206,0,0.74,0,0
1,20220207,0,0.74,0,0
1,20220208,0,0.73,0,0
1,20220209,0,0.72,0,0
1,20220210,0.13,0.72,0.0936,0
1,20220211,0.25,0.71,0.1775,0
1,20220212,0.07,0.71,0.0497,0
