id,left,top,right,bottom,row_index,col_index,zone_id,zone_name
1,407237.379499999980908,1449195.722999999998137,412237.379499999980908,1444195.722999999998137,0,0,1,zone_01
2,407237.379499999980908,1444195.722999999998137,412237.379499999980908,1439195.722999999998137,1,0,2,zone_02
3,407237.379499999980908,1439195.722999999998137,412237.379499999980908,1434195.722999999998137,2,0,3,zone_03
4,407237.379499999980908,1434195.722999999998137,412237.379499999980908,1429195.722999999998137,3,0,4,zone_04
5,412237.379499999980908,1449195.722999999998137,417237.379499999980908,1444195.722999999998137,0,1,5,zone_05
6,412237.379499999980908,1444195.722999999998137,417237.379499999980908,1439195.722999999998137,1,1,6,zone_06
7,412237.379499999980908,1439195.722999999998137,417237.379499999980908,1434195.722999999998137,2,1,7,zone_07
8,412237.379499999980908,1434195.722999999998137,417237.379499999980908,1429195.722999999998137,3,1,8,zone_08
9,417237.379499999980908,1449195.722999999998137,422237.379499999980908,1444195.722999999998137,0,2,9,zone_09
10,417237.379499999980908,1444195.722999999998137,422237.379499999980908,1439195.722999999998137,1,2,10,zone_10
11,417237.379499999980908,1439195.722999999998137,422237.379499999980908,1434195.722999999998137,2,2,11,zone_11
12,417237.379499999980908,1434195.722999999998137,422237.379499999980908,1429195.722999999998137,3,2,12,zone_12
13,422237.379499999980908,1449195.722999999998137,427237.379499999980908,1444195.722999999998137,0,3,13,zone_13
14,422237.379499999980908,1444195.722999999998137,427237.379499999980908,1439195.722999999998137,1,3,14,zone_14
15,422237.379499999980908,1439195.722999999998137,427237.379499999980908,1434195.722999999998137,2,3,15,zone_15
16,422237.379499999980908,1434195.722999999998137,427237.379499999980908,1429195.722999999998137,3,3,16,zone_16
