system:index,date,rainfall_mm,.geo,flood
20180101,01-01-2018,6.759258313,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180102,02-01-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180103,03-01-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180104,04-01-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180105,05-01-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180106,06-01-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180107,07-01-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180108,08-01-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180109,09-01-2018,1.570931595,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180110,10-01-2018,0.32016327,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180111,11-01-2018,0.495725611,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180112,12-01-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180113,13-01-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180114,14-01-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180115,15-01-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180116,16-01-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180117,17-01-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180118,18-01-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180119,19-01-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180120,20-01-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180121,21-01-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180122,22-01-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180123,23-01-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180124,24-01-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180125,25-01-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180126,26-01-2018,0.367159199,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180127,27-01-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180128,28-01-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180129,29-01-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180130,30-01-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180131,31-01-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180201,01-02-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180202,02-02-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180203,03-02-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180204,04-02-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180205,05-02-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180206,06-02-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180207,07-02-2018,4.578734848,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180208,08-02-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180209,09-02-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180210,10-02-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180211,11-02-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180212,12-02-2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}",
20180213,13-02-2018,0.826261575,"{""type"":""MultiPoint"",""coordinates"":[]}",
