Row Labels,Average of runoff_mm
01-01-2018,0.082989998
02-01-2018,0.080410004
03-01-2018,0.077940002
04-01-2018,0.075549997
05-01-2018,0.073250003
06-01-2018,0.071039997
07-01-2018,0.06893
08-01-2018,0.066909999
09-01-2018,0.064999998
10-01-2018,0.063300001
11-01-2018,0.06079
12-01-2018,0.0593175
13-01-2018,0.057937499
14-01-2018,0.056615
15-01-2018,0.0553375
16-01-2018,0.05410625
17-01-2018,0.05291875
18-01-2018,0.051775
19-01-2018,0.05067625
20-01-2018,0.049625
21-01-2018,0.0486125
22-01-2018,0.047642501
23-01-2018,0.046712499
24-01-2018,0.04582125
25-01-2018,0.0449675
26-01-2018,0.04415
27-01-2018,0.043366249
28-01-2018,0.0426125
29-01-2018,0.04189125
30-01-2018,0.041199999
31-01-2018,0.0405325
01-02-2018,0.0398925
02-02-2018,0.03927625
03-02-2018,0.03868375
04-02-2018,0.03811125
05-02-2018,0.03755875
06-02-2018,0.03702625
07-02-2018,0.0377275
08-02-2018,0.036026249
09-02-2018,0.03561625
10-02-2018,0.03526375
11-02-2018,0.03493125
12-02-2018,0.03461125
13-02-2018,0.034285
14-02-2018,0.034035
15-02-2018,0.03364125
16-02-2018,0.03333
17-02-2018,0.03302875
18-02-2018,0.0327275
19-02-2018,0.03242375
20-02-2018,0.0321175
21-02-2018,0.03181125
22-02-2018,0.0315025
23-02-2018,0.0311925
24-02-2018,0.03088375
25-02-2018,0.03057625
26-02-2018,0.03027375
27-02-2018,0.02997
28-02-2018,0.02967
01-03-2018,0.02937375
02-03-2018,0.0290825
03-03-2018,0.028795
04-03-2018,0.02851125
05-03-2018,0.02823375
06-03-2018,0.02795875
07-03-2018,0.02768875
08-03-2018,0.02742375
09-03-2018,0.0271625
10-03-2018,0.02690625
11-03-2018,0.026655
12-03-2018,0.02641
13-03-2018,0.02616625
14-03-2018,0.02592625
15-03-2018,0.0256975
16-03-2018,0.02585
17-03-2018,0.04067
18-03-2018,0.02518125
19-03-2018,0.02517875
20-03-2018,0.02520625
21-03-2018,0.0252325
22-03-2018,0.02524
23-03-2018,0.02523125
24-03-2018,0.02519875
25-03-2018,0.02514125
26-03-2018,0.025065
27-03-2018,0.02497625
28-03-2018,0.02487
29-03-2018,0.02474875
30-03-2018,0.02461875
31-03-2018,0.02447875
01-04-2018,0.0243325
02-04-2018,0.02418
03-04-2018,0.02402
04-04-2018,0.02386
05-04-2018,0.0236975
06-04-2018,0.02353
07-04-2018,0.02336125
08-04-2018,0.02319375
09-04-2018,0.02302375
10-04-2018,0.022855
11-04-2018,0.0226925
12-04-2018,0.02252
13-04-2018,0.02236125
14-04-2018,0.02219375
15-04-2018,0.02204
16-04-2018,0.02188
17-04-2018,0.021725
18-04-2018,0.02157125
19-04-2018,0.02142
20-04-2018,0.02126875
21-04-2018,0.0211175
22-04-2018,0.02096875
23-04-2018,0.0208225
24-04-2018,0.020675
25-04-2018,0.02052875
26-04-2018,0.0203875
27-04-2018,0.020245
28-04-2018,0.020105
29-04-2018,0.0199675
30-04-2018,0.01983
01-05-2018,0.019695
02-05-2018,0.01956125
03-05-2018,0.020078751
04-05-2018,0.01929875
05-05-2018,0.01917875
06-05-2018,0.01907
07-05-2018,0.018965
08-05-2018,0.01889375
09-05-2018,0.02001625
10-05-2018,0.018675
11-05-2018,0.01859875
12-05-2018,0.01854625
13-05-2018,0.0184725
14-05-2018,0.01843
15-05-2018,0.0184025
16-05-2018,0.01829625
17-05-2018,0.01823875
18-05-2018,0.01818
19-05-2018,0.01812
20-05-2018,0.018055
21-05-2018,0.01798875
22-05-2018,0.01791625
23-05-2018,0.017845
24-05-2018,0.017765
25-05-2018,0.017685
26-05-2018,0.017605
27-05-2018,0.01759375
28-05-2018,0.0174725
29-05-2018,0.01773625
30-05-2018,0.01727625
31-05-2018,0.01721625
01-06-2018,0.02591125
02-06-2018,0.01919875
03-06-2018,0.0170975
04-06-2018,0.01754625
05-06-2018,0.01727125
06-06-2018,0.0278725
07-06-2018,0.01749875
08-06-2018,0.02583375
09-06-2018,0.01801
10-06-2018,0.02157375
11-06-2018,0.01883875
12-06-2018,0.020675
13-06-2018,0.01976375
14-06-2018,0.02057125
15-06-2018,0.066836249
16-06-2018,0.0214275
17-06-2018,0.0226275
18-06-2018,0.0239325
19-06-2018,0.02508875
20-06-2018,0.026043751
21-06-2018,0.0268225
22-06-2018,0.02737875
23-06-2018,0.03232375
24-06-2018,0.0282425
25-06-2018,0.02852875
26-06-2018,0.02889125
27-06-2018,0.02922125
28-06-2018,0.02983375
29-06-2018,0.02967375
30-06-2018,0.02964
01-07-2018,0.03155
02-07-2018,0.0507975
03-07-2018,0.0301025
04-07-2018,0.03084
05-07-2018,0.0572475
06-07-2018,0.03300125
07-07-2018,0.03419625
08-07-2018,0.035421251
09-07-2018,0.037548751
10-07-2018,0.037606251
11-07-2018,0.03845375
12-07-2018,0.039796251
13-07-2018,0.039471251
14-07-2018,0.039705
15-07-2018,0.039851251
16-07-2018,0.039855
17-07-2018,0.03972125
18-07-2018,0.042426251
19-07-2018,0.039199999
20-07-2018,0.05020875
21-07-2018,0.03969625
22-07-2018,0.04028875
23-07-2018,0.0410975
24-07-2018,0.04174125
25-07-2018,0.042617501
26-07-2018,0.044105
27-07-2018,0.04303625
28-07-2018,0.04330625
29-07-2018,0.0434
30-07-2018,0.0438825
31-07-2018,0.043253749
01-08-2018,0.043113751
02-08-2018,0.048715001
03-08-2018,0.04309875
04-08-2018,0.0459725
05-08-2018,0.043455
06-08-2018,0.04408625
07-08-2018,0.04515375
08-08-2018,0.04867375
09-08-2018,0.04506125
10-08-2018,0.046396251
11-08-2018,0.0749225
12-08-2018,0.051481249
13-08-2018,0.05352375
14-08-2018,0.062376249
15-08-2018,0.069080001
16-08-2018,0.06735125
17-08-2018,0.07072875
18-08-2018,0.073763751
19-08-2018,0.074993748
20-08-2018,0.07489
21-08-2018,0.07401125
22-08-2018,0.07261
23-08-2018,0.070896251
24-08-2018,0.069018749
