system:index,daily_date,soil_moisture,.geo
NASA_USDA_SMAP_SM20180101_20180103,2018-01-01,12.52153036,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180104_20180106,2018-01-02,12.52153036,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180107_20180109,2018-01-03,12.52153036,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180110_20180112,2018-01-04,11.90956915,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180113_20180115,2018-01-05,11.90956915,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180116_20180118,2018-01-06,11.90956915,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180119_20180121,2018-01-07,11.2972985,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180122_20180124,2018-01-08,11.2972985,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180125_20180127,2018-01-09,11.2972985,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180128_20180130,2018-01-10,11.19062392,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180131_20180202,2018-01-11,11.19062392,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180203_20180205,2018-01-12,11.19062392,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180206_20180208,2018-01-13,9.892206116,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180209_20180211,2018-01-14,9.892206116,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180212_20180214,2018-01-15,9.892206116,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180215_20180217,2018-01-16,9.348231132,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180218_20180220,2018-01-17,9.348231132,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180221_20180223,2018-01-18,9.348231132,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180224_20180226,2018-01-19,8.783215848,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180227_20180301,2018-01-20,8.783215848,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180302_20180304,2018-01-21,8.783215848,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180305_20180307,2018-01-22,8.002046258,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180308_20180310,2018-01-23,8.002046258,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180311_20180313,2018-01-24,8.002046258,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180314_20180316,2018-01-25,7.393179589,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180317_20180319,2018-01-26,7.393179589,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180320_20180322,2018-01-27,7.393179589,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180323_20180325,2018-01-28,6.714213769,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180326_20180328,2018-01-29,6.714213769,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180329_20180331,2018-01-30,6.714213769,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180401_20180403,2018-01-31,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180404_20180406,2018-02-01,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180407_20180409,2018-02-02,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180410_20180412,2018-02-03,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180413_20180415,2018-02-04,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180416_20180418,2018-02-05,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180419_20180421,2018-02-06,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180422_20180424,2018-02-07,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180425_20180427,2018-02-08,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180428_20180430,2018-02-09,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180501_20180503,2018-02-10,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180504_20180506,2018-02-11,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180507_20180509,2018-02-12,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180510_20180512,2018-02-13,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180513_20180515,2018-02-14,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180516_20180518,2018-02-15,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180519_20180521,2018-02-16,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180522_20180524,2018-02-17,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180525_20180527,2018-02-18,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180528_20180530,2018-02-19,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180531_20180602,2018-02-20,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180603_20180605,2018-02-21,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180606_20180608,2018-02-22,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180609_20180611,2018-02-23,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180612_20180614,2018-02-24,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180615_20180617,2018-02-25,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180618_20180620,2018-02-26,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180621_20180623,2018-02-27,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180624_20180626,2018-02-28,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180627_20180629,2018-03-01,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180630_20180702,2018-03-02,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180703_20180705,2018-03-03,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180706_20180708,2018-03-04,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180709_20180711,2018-03-05,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180712_20180714,2018-03-06,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180715_20180717,2018-03-07,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180718_20180720,2018-03-08,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180721_20180723,2018-03-09,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180724_20180726,2018-03-10,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180727_20180729,2018-03-11,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180730_20180801,2018-03-12,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180802_20180804,2018-03-13,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180805_20180807,2018-03-14,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180808_20180810,2018-03-15,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180811_20180813,2018-03-16,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180814_20180816,2018-03-17,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180817_20180819,2018-03-18,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180820_20180822,2018-03-19,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180823_20180825,2018-03-20,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180826_20180828,2018-03-21,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180829_20180831,2018-03-22,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180901_20180903,2018-03-23,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180904_20180906,2018-03-24,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180907_20180909,2018-03-25,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180910_20180912,2018-03-26,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180913_20180915,2018-03-27,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180916_20180918,2018-03-28,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180919_20180921,2018-03-29,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180922_20180924,2018-03-30,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180925_20180927,2018-03-31,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20180928_20180930,2018-04-01,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20181001_20181003,2018-04-02,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20181004_20181006,2018-04-03,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20181007_20181009,2018-04-04,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20181010_20181012,2018-04-05,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20181013_20181015,2018-04-06,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20181016_20181018,2018-04-07,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20181019_20181021,2018-04-08,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20181022_20181024,2018-04-09,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20181025_20181027,2018-04-10,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20181028_20181030,2018-04-11,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20181031_20181102,2018-04-12,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20181103_20181105,2018-04-13,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20181106_20181108,2018-04-14,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20181109_20181111,2018-04-15,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20181112_20181114,2018-04-16,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20181115_20181117,2018-04-17,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20181118_20181120,2018-04-18,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20181121_20181123,2018-04-19,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20181124_20181126,2018-04-20,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20181127_20181129,2018-04-21,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20181130_20181202,2018-04-22,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20181203_20181205,2018-04-23,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20181206_20181208,2018-04-24,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20181209_20181211,2018-04-25,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20181212_20181214,2018-04-26,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20181215_20181217,2018-04-27,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20181218_20181220,2018-04-28,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20181221_20181223,2018-04-29,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20181224_20181226,2018-04-30,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20181227_20181229,2018-05-01,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20181230_20190101,2018-05-02,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190102_20190104,2018-05-03,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190105_20190107,2018-05-04,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190108_20190110,2018-05-05,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190111_20190113,2018-05-06,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190114_20190116,2018-05-07,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190117_20190119,2018-05-08,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190120_20190122,2018-05-09,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190123_20190125,2018-05-10,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190126_20190128,2018-05-11,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190129_20190131,2018-05-12,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190201_20190203,2018-05-13,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190204_20190206,2018-05-14,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190207_20190209,2018-05-15,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190210_20190212,2018-05-16,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190213_20190215,2018-05-17,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190216_20190218,2018-05-18,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190219_20190221,2018-05-19,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190222_20190224,2018-05-20,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190225_20190227,2018-05-21,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190228_20190302,2018-05-22,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190303_20190305,2018-05-23,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190306_20190308,2018-05-24,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190309_20190311,2018-05-25,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190312_20190314,2018-05-26,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190315_20190317,2018-05-27,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190318_20190320,2018-05-28,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190321_20190323,2018-05-29,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190324_20190326,2018-05-30,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190327_20190329,2018-05-31,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190330_20190401,2018-06-01,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190402_20190404,2018-06-02,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190405_20190407,2018-06-03,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190408_20190410,2018-06-04,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190411_20190413,2018-06-05,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190414_20190416,2018-06-06,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190417_20190419,2018-06-07,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190420_20190422,2018-06-08,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190423_20190425,2018-06-09,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190426_20190428,2018-06-10,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190429_20190501,2018-06-11,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190502_20190504,2018-06-12,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190505_20190507,2018-06-13,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190508_20190510,2018-06-14,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190511_20190513,2018-06-15,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190514_20190516,2018-06-16,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190517_20190519,2018-06-17,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190520_20190522,2018-06-18,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190523_20190525,2018-06-19,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190526_20190528,2018-06-20,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190529_20190531,2018-06-21,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190601_20190603,2018-06-22,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190604_20190606,2018-06-23,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190607_20190609,2018-06-24,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190610_20190612,2018-06-25,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190613_20190615,2018-06-26,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190616_20190618,2018-06-27,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190619_20190621,2018-06-28,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190622_20190624,2018-06-29,,"{""type"":""MultiPoint"",""coordinates"":[]}"
NASA_USDA_SMAP_SM20190625_20190627,2018-06-30,,"{""type"":""MultiPoint"",""coordinates"":[]}"
